Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
Rishabh Pant,98,2838,34.61,147.97,1,15,260,129,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244978/rishabh-pant.jpg,4487.0,1528.0,60.19078768056691
Ishan Kishan,75,1870,29.22,132.34,0,12,166,85,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226219/ishan-kishan.jpg,2929.0,1052.0,39.313164349959116
Dinesh Karthik,229,4376,26.85,132.65,0,20,426,134,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244969/dinesh-karthik.jpg,6689.0,1133.0,80.96756609430362
Lokesh Rahul,109,3889,48.01,136.22,4,31,327,164,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244975/kl-rahul.jpg,5796.0,3368.0,89.50667756881984
Sanju Samson,138,3526,29.14,135.72,3,17,279,158,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226289/sanju-samson.jpg,5365.0,466.0,61.079313164349955
Jos Buttler,82,2831,39.87,149.71,5,15,277,135,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244800/jos-buttler.jpg,4504.0,3977.0,80.40065412919051
Quinton De Kock,92,2764,32.14,133.91,2,19,277,106,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244766/quinton-de-kock.jpg,4283.0,3377.0,73.08530934859635
Nicholas Pooran,47,912,26.06,151.24,0,4,51,65,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244722/nicholas-pooran.jpg,1481.0,2244.0,33.273371490869444
Tom Banton,2,18,9.0,90.0,0,0,1,1,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c180935/tom-banton.jpg,8.0,530.0,3.1997819569364947
Jonny Bairstow,39,1291,35.86,142.65,1,9,133,55,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170976/jonny-bairstow.jpg,2048.0,2084.0,38.14663396020714
Anuj Rawat,10,129,14.33,108.4,0,1,10,7,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226472/anuj-rawat.jpg,201.0,0.0,0.970291632597438
Matthew Wade,13,179,13.77,104.68,0,0,23,2,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244799/matthew-wade.jpg,283.0,1545.0,14.497138184791497
Wriddhiman Saha,144,2427,25.28,127.87,1,11,231,76,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171058/wriddhiman-saha.jpg,3682.0,0.0,38.920686835650045
Glenn Phillips,3,26,13.0,78.79,0,0,1,2,1,10.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244817/glenn-phillips.jpg,32.0,2069.0,16.0452439356773
Heinrich Klaasen,7,66,13.2,115.79,0,0,5,1,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244761/heinrich-klaasen.jpg,92.0,1058.0,8.432815481057508
N Jagadeesan,7,73,24.33,110.61,0,0,7,1,0,0.0,0,0,Wicket Keeper,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/n-jagadeesan.jpg,112.0,0.0,0.0
